datetime,SURF_TEMP_C,SURF_SAL_PSU
2008-01-15,13.842857142857143,33.51
2008-01-22,14.016666666666666,33.49
2008-01-29,13.928571428571429,33.394285714285715
2008-02-05,13.566666666666668,33.473333333333336
2008-02-12,13.766666666666666,33.43
2008-02-19,14.342857142857143,33.402857142857144
2008-02-26,14.014285714285714,33.46714285714286
2008-03-04,14.114285714285714,33.43714285714286
2008-03-11,14.700000000000001,33.35
2008-03-18,15.066666666666668,33.45333333333333
2008-03-25,14.942857142857145,33.55285714285714
2008-04-01,16.185714285714287,33.57
2008-04-08,15.483333333333334,33.63333333333333
2008-04-15,15.757142857142856,33.690000000000005
2008-04-22,15.785714285714286,33.71857142857143
2008-04-29,15.442857142857141,33.792857142857144
2008-05-06,17.150000000000002,33.800000000000004
2008-05-13,17.185714285714287,33.83142857142857
2008-05-20,17.714285714285715,33.864285714285714
2008-05-27,18.585714285714285,33.854285714285716
2008-06-03,18.833333333333332,33.891666666666666
2008-06-10,19.2,33.801428571428566
2008-06-17,18.642857142857142,33.77571428571429
2008-06-24,18.416666666666668,33.76333333333333
2008-07-01,20.785714285714285,33.75571428571429
2008-07-08,20.583333333333332,33.75833333333333
2008-07-15,19.428571428571427,33.69857142857143
2008-07-22,20.7,33.66857142857143
2008-07-29,21.5,33.714285714285715
2008-08-05,22.02857142857143,33.72428571428571
2008-08-12,22.099999999999998,33.708571428571425
2008-08-19,23.014285714285712,33.66142857142857
2008-08-26,21.133333333333333,33.54833333333333
2008-09-02,21.900000000000002,33.571666666666665
2008-09-09,21.62857142857143,33.52428571428571
2008-09-16,22.12857142857143,33.50714285714286
2008-09-23,20.375,33.513999999999996
2008-09-30,19.46666666666667,33.45666666666667
2008-10-07,19.785714285714285,33.44285714285714
2008-10-14,19.82857142857143,33.46714285714286
2008-10-21,19.785714285714285,33.54571428571428
2008-10-28,17.771428571428572,33.48
2008-11-04,17.733333333333334,33.446666666666665
2008-11-11,18.900000000000002,33.498333333333335
2008-11-18,18.014285714285716,33.48285714285714
2008-11-25,17.55,33.475
2008-12-02,17.516666666666666,33.50833333333333
2008-12-09,17.314285714285713,33.362857142857145
2008-12-16,17.2,33.436
2008-12-23,16.04285714285714,33.455714285714286
2008-12-30,14.657142857142857,33.25714285714286
2009-01-06,14.116666666666667,33.275
2009-01-13,13.985714285714286,33.31857142857143
2009-01-20,14.299999999999999,33.35285714285714
2009-01-27,15.566666666666668,33.46
2009-02-03,15.266666666666666,33.445
2009-02-10,14.950000000000001,33.464999999999996
2009-02-17,14.86,33.396
2009-02-24,14.1,33.30142857142857
2009-03-03,14.48,33.36
2009-03-10,15.214285714285714,33.32285714285714
2009-03-17,15.12857142857143,33.39857142857143
2009-03-24,14.885714285714286,33.45
2009-03-31,15.371428571428572,33.46857142857143
2009-04-07,14.914285714285715,33.50142857142857
2009-04-14,15.819999999999999,33.586
2009-04-21,16.22,33.584
2009-04-28,16.014285714285712,33.61714285714286
2009-05-05,16.285714285714285,33.61142857142857
2009-05-12,17.085714285714285,33.62571428571429
2009-05-19,17.785714285714285,33.66857142857143
2009-05-26,18.657142857142855,33.69428571428572
2009-06-02,19.214285714285715,33.681428571428576
2009-06-09,19.142857142857142,33.71714285714286
2009-06-16,18.8,33.7
2009-06-23,18.785714285714285,33.71857142857143
2009-06-30,20.133333333333333,33.70333333333333
2009-07-07,20.728571428571428,33.73285714285714
2009-07-14,19.02857142857143,33.61
2009-07-21,19.316666666666666,33.58833333333333
2009-07-28,20.285714285714285,33.558571428571426
2009-08-04,23.771428571428572,33.684285714285714
2009-08-11,23.919999999999998,33.786
2009-08-18,23.02857142857143,33.72
2009-08-25,22.485714285714288,33.69857142857143
2009-09-01,22.542857142857144,33.71
2009-09-08,22.814285714285713,33.660000000000004
2009-09-15,24.450000000000003,33.71666666666667
2009-09-22,22.87142857142857,33.69571428571429
2009-09-29,22.25714285714286,33.637142857142855
2009-10-06,21.0,33.55571428571429
2009-10-13,20.74285714285714,33.58142857142857
2009-10-20,18.74285714285714,33.49285714285714
2009-10-27,19.2,33.48142857142857
2009-11-03,19.571428571428573,33.50142857142857
2009-11-10,17.349999999999998,33.445
2009-11-17,17.12857142857143,33.395714285714284
2009-11-24,17.7,33.47
2009-12-01,17.45,33.49166666666667
2009-12-08,17.02857142857143,33.51571428571429
2009-12-15,16.057142857142857,33.45428571428572
2009-12-22,15.4,33.34571428571429
2009-12-29,15.866666666666667,33.38666666666666
2010-01-05,15.12857142857143,33.41857142857143
2010-01-12,15.12857142857143,33.44857142857143
2010-01-19,15.757142857142856,33.46857142857143
2010-01-26,15.657142857142857,33.46714285714285
2010-02-02,15.066666666666668,33.35
2010-02-09,15.483333333333334,33.358333333333334
2010-02-16,15.38,33.386
2010-02-23,15.35,33.38
2010-03-02,16.014285714285712,33.34285714285714
2010-03-09,15.842857142857143,33.29571428571428
2010-03-16,15.657142857142857,33.27142857142857
2010-03-23,15.071428571428571,33.291428571428575
2010-03-30,15.828571428571427,33.42142857142857
2010-04-06,16.52857142857143,33.480000000000004
2010-04-13,16.02857142857143,33.47
2010-04-20,16.214285714285715,33.46857142857143
2010-04-27,17.014285714285712,33.449999999999996
2010-05-04,16.12857142857143,33.458571428571425
2010-05-11,15.728571428571428,33.49142857142857
2010-05-18,16.728571428571428,33.534285714285716
2010-05-25,17.47142857142857,33.56428571428571
2010-06-01,17.37142857142857,33.58857142857143
2010-06-08,17.785714285714285,33.60285714285714
2010-06-15,18.67142857142857,33.612857142857145
2010-06-22,18.785714285714285,33.64
2010-06-29,19.82857142857143,33.63142857142857
2010-07-06,20.5,33.71714285714285
2010-07-13,19.442857142857143,33.714285714285715
2010-07-20,18.785714285714285,33.62571428571429
2010-07-27,18.2,33.534285714285716
2010-08-03,19.357142857142858,33.542857142857144
2010-08-10,19.266666666666666,33.580000000000005
2010-08-17,20.32857142857143,33.583333333333336
2010-08-24,19.17142857142857,33.582857142857144
2010-08-31,18.571428571428573,33.48857142857143
2010-09-07,18.1,33.51571428571429
2010-09-14,19.0,33.585
2010-09-21,18.066666666666666,33.583333333333336
2010-09-28,17.783333333333335,33.58
2010-10-05,17.642857142857142,33.55428571428571
2010-10-12,19.271428571428572,33.52428571428571
2010-10-19,19.228571428571428,33.529999999999994
2010-10-26,19.157142857142855,33.537142857142854
2010-11-02,18.814285714285713,33.47857142857143
2010-11-09,18.585714285714285,33.41571428571429
2010-11-16,18.716666666666665,33.495
2010-11-23,17.242857142857144,33.567142857142855
2010-11-30,16.728571428571428,33.47
2010-12-07,15.016666666666666,33.45333333333333
2010-12-14,14.085714285714287,33.497142857142855
2010-12-21,13.799999999999999,33.46714285714285
2010-12-28,14.942857142857141,33.44714285714286
2011-01-04,15.071428571428571,33.03285714285715
2011-01-11,14.585714285714287,33.068571428571424
2011-01-18,14.383333333333333,33.20166666666667
2011-01-25,14.857142857142858,33.26285714285714
2011-02-01,14.9,33.30714285714286
2011-02-08,14.914285714285715,33.364285714285714
2011-02-15,14.285714285714286,33.378571428571426
2011-02-22,14.942857142857141,33.39142857142857
2011-03-01,14.557142857142859,33.35
2011-03-08,14.200000000000001,33.28285714285714
2011-03-15,14.6,33.16285714285714
2011-03-22,14.950000000000001,33.24166666666667
2011-03-29,14.485714285714286,33.34285714285714
2011-04-05,14.342857142857143,33.362857142857145
2011-04-12,15.814285714285715,33.26714285714286
2011-04-19,15.700000000000001,33.36714285714286
2011-04-26,16.5,33.395714285714284
2011-05-03,17.057142857142857,33.432857142857145
2011-05-10,17.414285714285715,33.49285714285714
2011-05-17,17.557142857142857,33.575714285714284
2011-05-24,16.82857142857143,33.60142857142857
2011-05-31,17.514285714285712,33.52142857142857
2011-06-07,18.085714285714285,33.528571428571425
2011-06-14,17.571428571428573,33.58142857142857
2011-06-21,16.928571428571427,33.60857142857143
2011-06-28,18.5,33.612857142857145
2011-07-05,18.885714285714283,33.63142857142857
2011-07-12,19.957142857142856,33.644285714285715
2011-07-19,20.928571428571427,33.635714285714286
2011-07-26,20.714285714285715,33.66857142857143
2011-08-02,21.02857142857143,33.651428571428575
2011-08-09,20.914285714285715,33.64
2011-08-16,17.34285714285714,33.44285714285714
2011-08-23,19.685714285714287,33.48857142857143
2011-08-30,20.114285714285717,33.55428571428571
2011-09-06,20.314285714285713,33.51428571428571
2011-09-13,18.933333333333334,33.473333333333336
2011-09-20,19.157142857142855,33.434285714285714
2011-09-27,19.642857142857142,33.535714285714285
2011-10-04,19.057142857142857,33.45714285714286
2011-10-11,17.228571428571428,33.41
2011-10-18,18.133333333333333,33.42166666666667
2011-10-25,18.48,33.426
2011-11-01,16.957142857142856,33.378571428571426
2011-11-08,17.433333333333334,33.413333333333334
2011-11-15,16.683333333333334,33.401666666666664
2011-11-22,16.014285714285712,33.39
2011-11-29,16.257142857142856,33.32714285714285
2011-12-06,15.960000000000003,33.339999999999996
2011-12-13,15.62857142857143,33.401428571428575
2011-12-20,14.914285714285715,33.41857142857143
2011-12-27,14.4,33.38142857142857
2012-01-03,14.283333333333333,33.406666666666666
2012-01-10,14.785714285714286,33.40428571428571
2012-01-17,15.12857142857143,33.417142857142856
2012-01-24,15.028571428571428,33.440000000000005
2012-01-31,14.466666666666667,33.419999999999995
2012-02-07,14.657142857142857,33.37714285714286
2012-02-14,14.971428571428572,33.431428571428576
2012-02-21,15.257142857142856,33.43571428571429
2012-02-28,14.6,33.42142857142857
2012-03-06,14.885714285714286,33.425714285714285
2012-03-13,14.416666666666666,33.42666666666667
2012-03-20,14.042857142857143,33.542857142857144
2012-03-27,13.771428571428572,33.55
2012-04-03,13.9,33.53
2012-04-10,14.285714285714286,33.59142857142857
2012-04-17,13.799999999999999,33.68
2012-04-24,15.1,33.598
2012-05-01,15.614285714285714,33.567142857142855
2012-05-08,16.428571428571427,33.58857142857143
2012-05-15,17.771428571428572,33.607142857142854
2012-05-22,18.8,33.652857142857144
2012-05-29,18.642857142857142,33.64714285714286
2012-06-05,18.02857142857143,33.674285714285716
2012-06-12,19.166666666666668,33.67666666666667
2012-06-19,19.014285714285712,33.68833333333333
2012-06-26,18.214285714285715,33.65714285714286
2012-07-03,18.985714285714288,33.660000000000004
2012-07-10,20.2,33.667142857142856
2012-07-17,18.642857142857142,33.66142857142857
2012-07-24,19.55,33.62833333333334
2012-07-31,20.514285714285712,33.62428571428571
2012-08-07,20.585714285714285,33.67857142857143
2012-08-14,20.87142857142857,33.71
2012-08-21,21.7,33.660000000000004
2012-08-28,22.316666666666666,33.65833333333333
2012-09-04,22.071428571428573,33.65857142857143
2012-09-11,21.614285714285717,33.61714285714286
2012-09-18,20.599999999999998,33.52428571428572
2012-09-25,20.97142857142857,33.53142857142857
2012-10-02,20.74285714285714,33.535714285714285
2012-10-09,20.285714285714285,33.51571428571429
2012-10-16,20.514285714285712,33.50714285714286
2012-10-23,19.74285714285714,33.534285714285716
2012-10-30,19.885714285714283,33.537142857142854
2012-11-06,18.8,33.593333333333334
2012-11-13,18.666666666666668,33.58714285714286
2012-11-20,17.7,33.598571428571425
2012-11-27,17.04285714285714,33.565714285714286
2012-12-04,16.685714285714287,33.558571428571426
2012-12-11,16.733333333333334,33.556666666666665
2012-12-18,16.614285714285717,33.541428571428575
2012-12-25,15.866666666666667,33.306666666666665
2013-01-01,15.62857142857143,33.537142857142854
2013-01-08,14.771428571428572,33.52571428571429
2013-01-15,14.12857142857143,33.53285714285715
2013-01-22,13.200000000000001,33.51857142857143
2013-01-29,13.4,33.58714285714286
2013-02-05,13.785714285714286,33.401428571428575
2013-02-12,14.457142857142857,33.51571428571429
2013-02-19,13.957142857142857,33.567142857142855
2013-02-26,14.085714285714285,33.605714285714285
2013-03-05,13.742857142857144,33.575714285714284
2013-03-12,14.114285714285714,33.61
2013-03-19,14.6,33.51714285714286
2013-03-26,14.928571428571429,33.51857142857143
2013-04-02,15.142857142857142,33.58142857142857
2013-04-09,16.54,33.614
2013-04-16,15.299999999999999,33.651428571428575
2013-04-23,15.4,33.674285714285716
2013-04-30,16.12857142857143,33.69285714285714
2013-05-07,17.5,33.721428571428575
2013-05-14,17.533333333333335,33.72
2013-05-21,18.614285714285717,33.69714285714286
2013-05-28,18.571428571428573,33.684285714285714
2013-06-04,19.916666666666668,33.75
2013-06-11,20.099999999999998,33.77428571428571
2013-06-18,19.166666666666668,33.745
2013-06-25,19.957142857142856,33.712857142857146
2013-07-02,20.32857142857143,33.73571428571429
2013-07-09,20.685714285714287,33.72857142857143
2013-07-16,20.785714285714285,33.715714285714284
2013-07-23,21.8,33.744285714285716
2013-07-30,20.900000000000002,33.722857142857144
2013-08-06,18.814285714285713,33.645714285714284
2013-08-13,18.97142857142857,33.628571428571426
2013-08-20,20.957142857142856,33.68714285714286
2013-08-27,20.642857142857142,33.67285714285715
2013-09-03,18.933333333333334,33.59166666666667
2013-09-10,20.32857142857143,33.597142857142856
2013-09-17,20.25714285714286,33.534285714285716
2013-09-24,20.95,33.565000000000005
2013-10-01,20.849999999999998,33.645
2013-10-08,20.17142857142857,33.63285714285714
2013-10-15,20.114285714285717,33.682857142857145
2013-10-22,19.585714285714285,33.695
2013-10-29,19.666666666666668,33.71666666666667
2013-11-05,17.45714285714286,33.61571428571428
2013-11-12,17.466666666666665,33.6
2013-11-19,17.6,33.61142857142857
2013-11-26,17.516666666666666,33.60166666666667
2013-12-03,17.428571428571427,33.589999999999996
2013-12-10,16.928571428571427,33.57142857142857
2013-12-17,16.242857142857144,33.64714285714286
2013-12-24,15.714285714285714,33.63
2013-12-31,15.614285714285714,33.61714285714286
2014-01-07,15.700000000000001,33.628571428571426
2014-01-14,16.04285714285714,33.60285714285714
2014-01-21,15.6,33.593333333333334
2014-01-28,15.757142857142856,33.60142857142857
2014-02-04,16.17142857142857,33.589999999999996
2014-02-11,15.916666666666666,33.61000000000001
2014-02-18,15.771428571428572,33.58142857142857
2014-02-25,15.757142857142856,33.54857142857143
2014-03-04,16.433333333333334,33.54833333333334
2014-03-11,16.685714285714287,33.50285714285714
2014-03-18,17.314285714285713,33.48
2014-03-25,18.157142857142855,33.47571428571428
2014-04-01,18.2,33.51
2014-04-08,17.433333333333334,33.52666666666667
2014-04-15,16.342857142857145,33.511428571428574
2014-04-22,16.475,33.519999999999996
2014-04-29,16.8,33.56285714285714
2014-05-06,17.6,33.58
2014-05-13,18.32,33.604
2014-05-20,17.871428571428574,33.61857142857143
2014-05-27,19.566666666666666,33.62833333333334
2014-06-03,19.866666666666667,33.65
2014-06-10,21.0,33.674285714285716
2014-06-17,20.67142857142857,33.64
2014-06-24,20.357142857142858,33.61714285714286
2014-07-01,21.071428571428573,33.67142857142857
2014-07-08,21.942857142857143,33.72857142857143
2014-07-15,22.55,33.695
2014-07-22,23.2,33.742000000000004
2014-07-29,21.842857142857145,33.660000000000004
2014-08-05,21.599999999999998,33.55714285714286
2014-08-12,22.916666666666668,33.55166666666667
2014-08-19,22.914285714285715,33.63
2014-08-26,22.483333333333334,33.60166666666667
2014-09-02,22.485714285714288,33.62571428571429
2014-09-09,23.285714285714285,33.66428571428572
2014-09-16,22.97142857142857,33.63
2014-09-23,22.271428571428572,33.58428571428571
2014-09-30,22.46666666666667,33.56166666666667
2014-10-07,21.185714285714287,33.53857142857142
2014-10-14,22.683333333333334,33.61833333333333
2014-10-21,21.557142857142857,33.598571428571425
2014-10-28,21.3,33.63
